"3622,\"Zuma's Revenge Demo\",\"unknown\""
"3629,\"Zuma's Revenge\",\"unknown\""
"3630,\"BookWorm Adventures Volume 2\",\"unknown\""
"3632,\"Bookworm™ Adventures Volume 2 Demo\",\"unknown\""
"3640,\"Bookworm (TM) Adventures - Fractured Fairytales\",\"unknown\""
"3642,\"Bookworm Adventures - Fractured Fairytales Demo\",\"unknown\""
"3650,\"Zuma's Revenge! - Adventure\",\"unknown\""
"3652,\"Zuma's Revenge! - Adventure Demo\",\"unknown\""
"3700,\"Sniper Elite\",\"unknown\""
"3710,\"Judge Dredd: Dredd vs Death\",\"unknown\""
"3720,\"Evil Genius\",\"unknown\""
"3730,\"Aliens versus Predator Classic 2000\",\"unknown\""
"3750,\"ValveTestApp3750\",\"unknown\""
"3800,\"Advent Rising\",\"unknown\""
"3810,\"BloodRayne\",\"unknown\""
"3820,\"BloodRayne 2\",\"unknown\""
"3830,\"Psychonauts\",\"unknown\""
"3838,\"Psychonauts Original Soundtrack\",\"unknown\""
"3839,\"Psychonauts Original Cinematic Score\",\"unknown\""
"3840,\"Psychonauts Demo\",\"unknown\""
"3850,\"BloodRayne 2 Demo\",\"unknown\""
"3900,\"Sid Meier's Civilization IV\",\"unknown\""
"3910,\"Sid Meier's Civilization III: Complete\",\"unknown\""
"3920,\"Sid Meier's Pirates!\",\"unknown\""
"3960,\"Shattered Union\",\"unknown\""
"3970,\"Prey\",\"unknown\""
"3980,\"CivCity: Rome\",\"unknown\""
"3990,\"Sid Meier's Civilization IV: Warlords\",\"unknown\""
"4000,\"Garry's Mod\",\"released\""
"4010,\"Garry's Mod - Beta\",\"unknown\""
"4020,\"Garry's Mod Dedicated Server\",\"released\""
"4100,\"Poker Superstars II\",\"unknown\""
"4102,\"Poker Superstars II Demo\",\"unknown\""
"4200,\"Race Internal Beta\",\"unknown\""
"4206,\"Race Internal Beta\",\"unknown\""
"4207,\"Race Internal Beta Dedicated Server\",\"unknown\""
"4210,\"Race Internal Beta Dedicated Server\",\"unknown\""
"4230,\"Race: The WTCC Game\",\"unknown\""
"4240,\"Race Dedicated Server\",\"unknown\""
"4260,\"RACE 07 Demo\",\"unknown\""
"4270,\"RACE 07 Demo Dedicated Server\",\"unknown\""
"4280,\"Race Caterham Beta\",\"unknown\""
"4290,\"RACE: Caterham Expansion\",\"unknown\""
"4300,\"RoboBlitz\",\"unknown\""
"4310,\"RoboBlitz Demo\",\"unknown\""
"4320,\"Star Trek: D-A-C\",\"unknown\""
"4329,\"Star Trek: D·A·C\",\"unknown\""
"4330,\"Star Trek: D·A·C - Demo\",\"unknown\""
"4400,\"City Life\",\"unknown\""
"4410,\"City Life Deluxe\",\"unknown\""
"4420,\"Silverfall\",\"unknown\""
"4440,\"Silverfall Demo\",\"unknown\""
"4450,\"Silverfall Beta\",\"unknown\""
"4460,\"City Life 2008\",\"unknown\""
"4470,\"Silverfall: Earth Awakening\",\"unknown\""
"4480,\"City Life 2008 Editor\",\"unknown\""
"4500,\"S.T.A.L.K.E.R.: Shadow of Chernobyl\",\"unknown\""
"4520,\"Full Spectrum Warrior\",\"unknown\""
"4530,\"Full Spectrum Warrior: Ten Hammers\",\"unknown\""
"4540,\"Titan Quest\",\"unknown\""
"4550,\"Titan Quest: Immortal Throne\",\"unknown\""
"4560,\"Company of Heroes - Legacy Edition\",\"unknown\""
"4570,\"Warhammer 40,000: Dawn of War - Game of the Year Edition\",\"unknown\""
"4580,\"Warhammer 40,000: Dawn of War - Dark Crusade\",\"unknown\""
"4590,\"Titan Quest Demo\",\"unknown\""
"4600,\"Full Pipe\",\"unknown\""
"4610,\"Full Pipe Demo\",\"unknown\""
"4700,\"Total War: MEDIEVAL II - Definitive Edition\",\"unknown\""
"4710,\"Medieval II: Total War Demo\",\"unknown\""
"4720,\"Condemned: Criminal Origins\",\"unknown\""
"4730,\"OutRun 2006: Coast 2 Coast\",\"unknown\""
"4760,\"Rome: Total War\",\"unknown\""
"4770,\"Rome: Total War - Alexander\",\"unknown\""
"4780,\"Medieval II: Total War Kingdoms\",\"unknown\""
"4790,\"SEGA Rally Revo\",\"unknown\""
"4800,\"Heroes of Annihilated Empires\",\"unknown\""
"4808,\"Heroes of Annihilated Empires Beta\",\"unknown\""
"4810,\"Heroes of Annihilated Empires Demo\",\"unknown\""
"4820,\"Heroes of Annihilated Empires Multiplayer Demo\",\"unknown\""
"4830,\"S.T.A.L.K.E.R.: Shadow of Chernobyl\",\"unknown\""
"4850,\"Cossacks: Back to War\",\"unknown\""
"4856,\"Cossacks Campaign Expansion\",\"unknown\""
